Year,Award Type,Genre,Journal Name,Medium
2014,Best of the Net Anthology,Poetry,Ghost Ocean,Online
2014,Best of the Net Anthology,Poetry,Devil's Lake,Online
2014,Best of the Net Anthology,Poetry,Museum of Americana,Online
2014,Best of the Net Anthology,Poetry,The Adroit Journal,Online
2014,Best of the Net Anthology,Poetry,Sundog Lit,Online
2014,Best of the Net Anthology,Poetry,Big Lucks,Online
2014,Best of the Net Anthology,Poetry,Blackbird,Online
2014,Best of the Net Anthology,Poetry,Nashville Review,Online
2014,Best of the Net Anthology,Poetry,Thrush Poetry Journal,Online
2014,Best of the Net Anthology,Poetry,decomP,Online
2014,Best of the Net Anthology,Poetry,Cortland Review,Online
2014,Best of the Net Anthology,Poetry,Tinderbox Poetry Journal,Online
2014,Best of the Net Anthology,Fiction,Quarterly West,Online
2014,Best of the Net Anthology,Fiction,American Short Fiction,Online
2014,Best of the Net Anthology,Fiction,The Masters Review,Online
2014,Best of the Net Anthology,Fiction,Ninth Letter,Online
2014,Best of the Net Anthology,Fiction,Blue Mesa Review,Online
2014,Best of the Net Anthology,Fiction,Wyvern Lit,Online
2015,Best of the Net Anthology,Poetry,Guernica Magazine,Online
2015,Best of the Net Anthology,Poetry,Terrain.org,Online
2015,Best of the Net Anthology,Poetry,Midway Journal,Online
2015,Best of the Net Anthology,Poetry,Maps For Teeth,Online
2015,Best of the Net Anthology,Poetry,PHANTOM,Online
2015,Best of the Net Anthology,Poetry,Blackbird,Online
2015,Best of the Net Anthology,Poetry,One Magazine,Online
2015,Best of the Net Anthology,Poetry,Boxcar Poetry Review,Online
2015,Best of the Net Anthology,Poetry,Muzzle Magazine,Online
2015,Best of the Net Anthology,Poetry,Blue Mesa Review,Online
2015,Best of the Net Anthology,Poetry,Quarry: A Social Justice Poetry Database,Online
2015,Best of the Net Anthology,Poetry,AGNI,Online
2015,Best of the Net Anthology,Poetry,Hawaii Pacific Review,Online
2015,Best of the Net Anthology,Poetry,One Throne Magazine,Online
2015,Best of the Net Anthology,Poetry,Terrain.org,Online
2015,Best of the Net Anthology,Poetry,Memorious,Online
2015,Best of the Net Anthology,Poetry,The Collagist,Online
2015,Best of the Net Anthology,Poetry,DIALOGIST,Online
2015,Best of the Net Anthology,Poetry,Voicemail Poems,Online
2015,Best of the Net Anthology,Fiction,Tupelo Quarterly,Online
2015,Best of the Net Anthology,Fiction,Burrow Press Review,Online
2015,Best of the Net Anthology,Fiction,Guernica,Online
2015,Best of the Net Anthology,Fiction,Threadcount Magazine,Online
2015,Best of the Net Anthology,Fiction,Print-Oriented Bastards,Online
2015,Best of the Net Anthology,Fiction,Cease Cows,Online
2016,Best of the Net Anthology,Poetry,Waxwing Literary Journal,Online
2016,Best of the Net Anthology,Poetry,Rattle,Online
2016,Best of the Net Anthology,Poetry,Guernica,Online
2016,Best of the Net Anthology,Poetry,Muzzle Magazine,Online
2016,Best of the Net Anthology,Poetry,Rattle,Online
2016,Best of the Net Anthology,Poetry,Muzzle Magazine,Online
2016,Best of the Net Anthology,Poetry,Jet Fuel Review,Online
2016,Best of the Net Anthology,Poetry,Sakura Review,Online
2016,Best of the Net Anthology,Poetry,Baltimore Review,Online
2016,Best of the Net Anthology,Poetry,Memorious,Online
2016,Best of the Net Anthology,Poetry,Connotation Press,Online
2016,Best of the Net Anthology,Poetry,Border Crossing,Online
2016,Best of the Net Anthology,Poetry,Vinyl,Online
2016,Best of the Net Anthology,Poetry,Blueshift Journal,Online
2016,Best of the Net Anthology,Fiction,Little Fiction,Online
2016,Best of the Net Anthology,Fiction,Quarterly West,Online
2016,Best of the Net Anthology,Fiction,Memorious,Online
2016,Best of the Net Anthology,Fiction,Barrelhouse,Online
2016,Best of the Net Anthology,Fiction,Adroit Journal,Online
2017,Best of the Net Anthology,Poetry,The Rumpus,Online
2017,Best of the Net Anthology,Poetry,Blue Mesa Review,Online
2017,Best of the Net Anthology,Poetry,Thrush Poetry Journal,Online
2017,Best of the Net Anthology,Poetry,Jet Fuel Review,Online
2017,Best of the Net Anthology,Poetry,Cleaver,Online
2017,Best of the Net Anthology,Poetry,Breadcrumbs,Online
2017,Best of the Net Anthology,Poetry,Waxwing,Online
2017,Best of the Net Anthology,Poetry,wildness,Online
2017,Best of the Net Anthology,Poetry,The Account,Online
2017,Best of the Net Anthology,Poetry,Madcap Review,Online
2017,Best of the Net Anthology,Poetry,Arkansas International,Online
2017,Best of the Net Anthology,Poetry,Queen Mob's Tea House,Online
2017,Best of the Net Anthology,Poetry,Muzzle Magazine,Online
2017,Best of the Net Anthology,Poetry,Sixth Finch,Online
2017,Best of the Net Anthology,Poetry,Nightjar Review,Online
2017,Best of the Net Anthology,Poetry,Whale Road Review,Online
2017,Best of the Net Anthology,Fiction,Little Fiction,Online
2017,Best of the Net Anthology,Fiction,Quarterly West,Online
2017,Best of the Net Anthology,Fiction,Memorious,Online
2017,Best of the Net Anthology,Fiction,Barrelhouse,Online
2017,Best of the Net Anthology,Fiction,The Adriot Journal,Online
2018,Best of the Net Anthology,Poetry,Baltimore Review,Online
2018,Best of the Net Anthology,Poetry,Contrary Magazine,Online
2018,Best of the Net Anthology,Poetry,Adroit Journal,Online
2018,Best of the Net Anthology,Poetry,Los Angeles Review,Online
2018,Best of the Net Anthology,Poetry,Muzzle Magazine,Online
2018,Best of the Net Anthology,Poetry,Shenandoah,Online
2018,Best of the Net Anthology,Poetry,The Offing,Online
2018,Best of the Net Anthology,Poetry,Staircase Quarterly,Online
2018,Best of the Net Anthology,Poetry,Portland Review,Online
2018,Best of the Net Anthology,Poetry,Split Rock Review ,Online
2018,Best of the Net Anthology,Poetry,Kenyon Review,Online
2018,Best of the Net Anthology,Poetry,Psaltery and Lyre,Online
2018,Best of the Net Anthology,Poetry,North American Review,Online
2018,Best of the Net Anthology,Fiction,Syntax & Salt Magazine,Online
2018,Best of the Net Anthology,Fiction,Split Lip Magazine,Online
2018,Best of the Net Anthology,Fiction,Cha,Online
2018,Best of the Net Anthology,Fiction,Pigeon Pages,Online
2018,Best of the Net Anthology,Fiction,SmokeLong Quarterly,Online
2018,Best of the Net Anthology,Fiction,Tishman Review,Online
